File Name,Freq_1 (Hz),Freq_2 (Hz),Freq_3 (Hz),Freq_4 (Hz),Freq_5 (Hz),Freq_6 (Hz),Freq_7 (Hz),Freq_8 (Hz),Freq_9 (Hz),Freq_10 (Hz),Freq_11 (Hz),Freq_12 (Hz),Time (s)
rand_0758.stp,44090.21,44160.23,57572.81,106313.7,107838.9,107938.5,131489.5,132109.9,217369.6,217850.7,222025.3,222921.3,12.61
rand_0759.stp,85852.29,85906.78,111266.0,202837.3,210005.6,210218.8,250208.4,251069.8,400306.4,402178.1,423160.6,432645.4,6.85
rand_0760.stp,69126.8,69181.49,93111.65,168605.8,177920.7,178158.7,206559.8,206713.6,336523.5,336578.0,342399.8,351941.8,10.24
rand_0761.stp,45426.32,45475.17,60993.93,109134.4,109211.3,111346.4,138444.6,138803.8,221083.0,223994.9,225126.3,225275.5,18.60
rand_0762.stp,16957.26,17462.1,23574.7,32940.0,33089.87,39068.28,48623.1,49096.64,64727.84,69055.05,69654.51,70090.09,18.16
rand_0763.stp,36799.74,36824.23,49672.21,88957.94,91631.35,91686.78,108637.1,108670.9,175607.6,176808.3,176820.1,180527.0,13.34
rand_0764.stp,17840.6,17851.33,25226.17,33694.52,33712.11,42238.42,52170.45,52192.46,64506.48,69065.2,69191.55,69807.13,19.13
rand_0765.stp,30452.46,30497.73,42644.11,56662.64,56720.22,71281.0,87422.83,87445.87,109100.9,116122.3,116347.3,118301.4,12.93
rand_0766.stp,27934.81,27953.25,38563.94,56834.87,56888.3,66327.22,81475.53,81514.34,111089.9,116064.4,116193.8,117060.1,10.73
rand_0767.stp,22205.51,22208.73,30950.62,40845.72,40862.96,51706.32,63793.31,63804.86,77765.46,84323.31,84724.05,84768.89,26.29
rand_0768.stp,18036.44,18054.15,25363.84,33679.89,33738.93,42133.01,52087.98,52115.71,64748.97,69609.01,69651.33,69918.09,17.97
rand_0769.stp,24361.7,24626.04,33676.05,47103.42,47194.0,57092.88,70618.6,70818.24,91326.96,97477.79,97965.53,98669.83,20.02
rand_0770.stp,42344.25,42383.41,57804.89,92757.44,93000.66,98804.85,120611.7,120674.4,180253.9,186251.1,186506.4,187183.2,8.09
rand_0771.stp,48447.19,48490.94,63950.38,110213.1,110309.4,113657.9,139412.7,139613.5,220864.3,223170.4,223234.8,223922.5,9.87
rand_0772.stp,46120.52,46153.67,61364.51,108946.5,109004.4,111754.1,138967.0,139004.0,222728.4,225314.1,228573.6,228595.3,11.07
rand_0773.stp,22470.4,22519.16,31444.19,40900.73,40917.36,52893.55,65108.5,65271.16,77956.39,84344.34,85128.25,85605.49,12.92
rand_0774.stp,92047.84,92060.67,121858.5,215233.7,215484.9,216578.5,265802.4,265958.3,421586.6,422044.2,429851.7,442704.4,7.39
rand_0775.stp,85178.32,85260.04,110849.6,203297.1,211249.9,211428.2,250275.7,251060.6,403422.7,403507.1,423543.3,439207.7,8.02
rand_0776.stp,25098.57,25134.2,34966.35,47864.74,47921.07,59074.25,72571.43,72602.01,92019.57,98549.31,98781.78,99524.4,12.73
rand_0777.stp,32005.31,32022.03,44060.53,70073.17,70341.91,76271.13,93975.29,94414.28,139094.8,140394.3,140770.6,141132.7,11.42
rand_0778.stp,54151.66,54214.61,73055.84,134050.2,136784.8,136854.4,165395.0,165449.1,272230.4,274605.6,274646.7,274891.9,11.59
rand_0779.stp,28383.7,28387.06,39730.03,56914.24,57000.19,68187.73,83856.4,84004.95,110974.2,115470.7,115623.5,118842.1,12.38
rand_0780.stp,37123.56,37159.14,50044.86,89408.47,90579.63,90756.33,109518.9,109591.1,176148.8,177370.6,177640.5,180810.0,16.41
rand_0781.stp,36803.55,36830.59,49518.19,88901.8,90357.95,90406.57,109282.0,109313.7,176994.5,177378.8,177468.3,181526.8,13.28
rand_0782.stp,87971.84,88099.16,113105.5,204886.0,209977.4,210210.7,250699.2,252047.6,395028.4,395384.3,421237.3,435538.9,7.07
rand_0783.stp,21538.29,21712.96,30314.28,40555.79,40602.31,51105.01,62973.55,63011.87,77258.9,83879.12,84044.43,84103.43,21.30
rand_0784.stp,54620.47,54640.23,73112.3,132834.4,134460.6,134566.3,165183.3,165337.2,271212.6,271390.0,271457.1,275914.9,9.51
rand_0785.stp,86582.31,86663.66,112396.5,203318.8,207880.0,207996.7,250658.9,250791.2,397943.0,397999.8,420646.2,430634.1,8.98
rand_0786.stp,33770.84,33797.24,45350.64,83929.49,89962.3,90012.12,102980.3,103013.4,172021.5,172039.6,173950.6,177056.6,13.99
rand_0787.stp,35906.04,35929.07,48456.31,87309.69,90748.65,90792.85,106792.5,106801.0,174169.9,174852.0,174904.1,178366.9,15.00
rand_0788.stp,95425.06,95438.02,124542.2,212417.1,212675.4,218255.9,266767.0,266798.0,411918.1,412264.3,425333.7,436782.9,6.82
rand_0789.stp,58622.06,58668.79,77750.05,136326.1,136340.9,137682.5,168047.3,168068.0,267068.8,267424.8,267763.7,276567.8,9.47
rand_0790.stp,32867.19,32951.28,44770.41,69656.89,69681.94,77027.95,94598.81,95272.05,138629.1,141035.9,143118.3,143488.3,12.03
rand_0791.stp,71345.06,71387.59,89607.69,188489.3,223438.1,223510.8,252404.7,252505.3,406845.8,407430.0,453151.5,486647.7,9.75
rand_0792.stp,24928.04,24935.47,34921.99,47707.69,47778.74,58987.44,72528.04,72591.45,91656.61,97752.42,97869.15,99304.78,12.02
rand_0793.stp,72152.68,72207.81,95130.43,169318.7,176298.9,176556.5,205119.4,205228.9,324438.8,324976.2,335602.7,356476.6,8.70
rand_0794.stp,23638.91,23654.37,32791.63,47191.36,47208.3,56264.99,69502.74,69523.25,91145.62,96914.72,96952.66,98585.66,16.12
rand_0795.stp,17809.1,17809.79,24758.99,33457.91,33531.96,41370.88,51385.09,51491.54,64946.56,70030.81,70489.96,70680.72,14.48
rand_0796.stp,31971.23,31994.25,43809.76,70259.48,70431.64,76398.25,93942.67,94016.64,140274.3,141259.0,142149.9,142267.2,12.12
rand_0797.stp,38821.21,38844.38,52181.94,91187.58,91239.21,91797.53,111886.4,112106.1,176370.6,178523.0,178838.1,183232.9,10.01
rand_0798.stp,32476.74,32480.22,44338.62,70086.07,70116.47,76862.46,94475.03,94509.95,139875.6,141143.4,142719.2,142881.9,10.72
rand_0799.stp,17739.69,17745.16,24944.07,33330.53,33373.44,41634.66,51687.22,51703.23,63896.3,69160.8,69178.95,69335.25,37.79
rand_0800.stp,16509.76,16516.24,22883.61,33386.52,33402.47,38845.5,48285.74,48306.02,65034.33,68815.3,68961.07,69000.35,26.51
rand_0801.stp,67271.31,67329.05,88879.21,162539.8,175864.4,175963.4,197708.1,197753.4,321328.4,321561.4,334680.3,350104.4,9.43
rand_0802.stp,21566.59,21583.57,29822.64,40173.67,40208.12,50321.08,62541.47,62575.92,77239.14,83910.46,85109.79,85129.72,15.50
rand_0803.stp,17812.39,17818.54,24989.35,33471.19,33484.32,41515.72,51465.58,51491.38,64326.18,69273.38,69290.3,69502.36,25.28
rand_0804.stp,57049.05,57084.26,75656.25,134769.7,135387.3,135452.0,164806.9,164813.9,264091.8,264370.8,264970.9,274604.3,13.37
rand_0805.stp,24937.5,25021.77,34613.66,47594.89,47660.79,59079.35,72028.41,72240.7,91652.53,98683.22,99007.9,99698.38,12.70
rand_0806.stp,36540.44,36613.08,48735.63,87713.63,90802.22,90894.13,107041.5,107163.0,173468.2,173705.6,174690.5,181473.3,9.45
rand_0807.stp,31753.51,31772.51,43165.8,70598.25,70694.4,75128.11,91883.17,91924.83,139097.6,140928.8,142187.8,142341.0,11.53
rand_0808.stp,78457.14,78569.1,101115.5,189930.7,205372.7,205509.2,236445.5,236611.1,387383.0,387515.8,419406.3,429810.5,10.04
rand_0809.stp,39309.27,39352.15,53937.83,92737.05,92931.22,94334.86,115102.7,115136.7,178019.2,181427.8,181473.3,184715.1,11.76
rand_0810.stp,27943.56,27953.33,38681.74,56988.63,57068.2,66685.0,81901.57,81918.27,111353.8,116375.0,116801.3,117754.2,9.84
rand_0811.stp,31736.16,31741.08,43966.88,70704.73,70751.11,75676.82,93602.3,93610.56,139349.3,139419.5,139460.9,139992.9,9.90
rand_0812.stp,70014.89,70059.44,86628.91,183217.6,216390.7,216429.8,246284.3,246400.4,394694.7,394735.7,443785.6,482442.1,10.42
rand_0813.stp,27892.24,27917.99,38533.82,56929.37,56959.13,65975.25,80941.44,81030.44,111166.9,115359.2,115531.2,116038.8,14.73
rand_0814.stp,21156.39,21161.74,29109.36,40441.66,40478.2,49269.94,61158.67,61176.65,78212.17,84581.65,85217.72,85313.67,21.25
rand_0815.stp,16869.53,16874.27,23514.29,33588.37,33640.78,39856.96,49376.5,49390.46,65050.9,69015.2,69111.59,69424.85,23.66
rand_0816.stp,93139.66,93815.94,122137.8,212967.3,214795.9,216110.4,260441.9,263844.7,412659.1,414290.9,423209.6,436966.7,7.52
rand_0817.stp,57324.46,57367.03,74878.76,146968.3,173201.7,173574.2,179773.1,181191.5,308724.1,308914.5,332516.8,342415.5,12.67
rand_0818.stp,66585.2,66629.7,86914.28,160757.2,174330.4,174705.3,195985.3,196186.6,318216.3,318443.9,337128.5,355366.4,9.86
rand_0819.stp,68463.12,69581.69,90220.95,155176.2,168746.3,185384.9,198707.5,204789.8,321479.6,325757.7,340297.5,353878.0,9.23
rand_0820.stp,80762.86,80848.7,104383.5,195339.5,209285.6,209417.0,241611.7,241873.8,395224.3,395374.3,422624.7,437122.9,8.91
rand_0821.stp,36829.95,36859.79,50768.68,90974.14,92336.24,92524.08,111729.9,111752.9,178745.0,179221.7,179255.8,184019.6,14.04
rand_0822.stp,35831.32,35835.87,48000.47,87327.88,90288.56,90332.34,107209.8,107229.7,175753.7,175767.1,176699.2,181172.1,13.37
rand_0823.stp,17356.87,17359.96,24118.97,33026.09,33051.84,40355.64,50366.16,50372.66,64104.6,69382.23,69698.38,69722.72,19.42
rand_0824.stp,17083.64,17090.67,23535.16,33090.85,33113.62,39491.9,49239.02,49247.14,64713.55,69229.68,69692.53,70213.68,21.69
rand_0825.stp,58946.44,59024.91,78424.61,135644.4,135969.1,138943.7,170577.5,172544.3,270753.0,271021.4,271941.4,276763.0,7.51
rand_0826.stp,23115.97,23125.3,32024.59,40372.82,40382.39,52779.52,65431.43,65762.19,76909.6,83950.35,86283.28,86335.85,14.56
rand_0827.stp,29970.8,29991.2,41716.93,57019.96,57112.76,70208.03,86019.68,86161.4,110677.0,117322.7,117463.5,118669.1,10.54
rand_0828.stp,29407.18,29426.33,40301.36,69697.44,69943.75,72268.64,88859.37,89027.13,138642.7,138931.7,139300.8,140052.0,21.38
rand_0829.stp,34782.75,34784.2,46804.26,85559.77,91306.57,91393.46,104481.3,104516.5,172877.0,172942.2,173732.9,177907.0,11.85
rand_0830.stp,24227.14,24245.02,33489.31,47043.53,47053.38,57055.02,70572.03,70620.18,91202.05,97890.85,97965.89,98692.74,25.06
rand_0831.stp,32381.59,32432.16,43512.3,69948.09,70345.5,75359.87,91983.19,92276.16,138925.4,140296.4,144251.9,144741.4,10.96
rand_0832.stp,28649.46,28659.24,39470.06,56454.4,56483.32,67043.95,82587.1,82611.7,110371.9,116780.9,116840.2,117006.7,17.54
rand_0833.stp,16666.39,16673.74,23231.64,33594.67,33617.03,39497.38,48932.06,49091.9,65171.4,68964.54,69034.37,69277.57,23.65
rand_0834.stp,21515.69,21518.19,29617.03,40160.95,40215.3,49214.72,61948.15,61958.31,77620.71,84168.17,85281.91,85564.44,18.00
rand_0835.stp,61524.56,61648.71,80509.44,154242.3,173946.1,174012.2,190268.2,190592.6,319077.1,319207.2,342296.6,353741.7,8.17
rand_0836.stp,38219.52,38251.57,51837.64,91262.51,91462.68,92105.81,113190.0,113251.3,179614.8,182893.9,182961.6,183419.9,12.91
rand_0837.stp,50408.44,50434.28,67686.6,111013.7,111316.2,119179.0,144954.6,145418.3,221895.8,223016.8,228629.6,229209.5,11.04
rand_0838.stp,18577.04,18579.56,26002.72,33331.37,33338.17,42682.92,52946.95,52968.81,63951.39,69262.07,70252.74,70301.12,26.28
