File Name,Freq_1 (Hz),Freq_2 (Hz),Freq_3 (Hz),Freq_4 (Hz),Freq_5 (Hz),Freq_6 (Hz),Freq_7 (Hz),Freq_8 (Hz),Freq_9 (Hz),Freq_10 (Hz),Freq_11 (Hz),Freq_12 (Hz),Time (s)
0_81.stp,37212.96,37232.32,50170.7,91017.15,94373.19,94417.28,110122.8,110200.7,178204.1,181950.5,182090.4,182590.6,7.16
0_82.stp,48924.37,48952.58,64990.88,114743.5,114952.0,117439.1,143040.6,143159.7,226279.4,227341.9,232238.1,232337.5,7.89
0_83.stp,48964.46,49015.85,65054.85,114807.4,115022.4,117708.7,143002.4,143077.8,226422.1,227763.7,232858.9,233465.0,8.92
0_84.stp,37213.78,37232.33,50202.32,91085.0,94323.57,94526.34,110010.5,110266.0,178156.7,181787.2,182270.1,182753.6,7.41
0_85.stp,85948.08,86007.44,108644.4,207408.1,232179.5,232437.1,248817.0,248967.1,423172.8,424199.2,436768.0,454150.0,10.07
0_86.stp,56747.97,56823.34,75001.6,137267.8,141604.7,141698.0,166714.6,166763.3,272820.4,275804.1,275818.1,282941.3,10.12
0_87.stp,56716.05,56801.97,74933.68,137139.4,141601.8,141675.3,166593.3,166648.0,272865.5,275763.9,275871.5,283012.5,9.18
0_88.stp,66622.7,66670.97,86624.58,163723.6,182549.7,182737.9,196685.3,196739.8,331648.6,331667.6,341311.5,357884.6,9.25
0_89.stp,85957.8,86077.6,108670.4,207483.8,232216.7,232531.5,248586.0,248753.3,423515.4,424221.6,436906.5,454967.7,8.84
0_9.stp,37169.19,37187.0,50115.06,90925.76,93930.94,94031.04,110044.4,110100.0,177876.7,181583.1,181821.2,182440.0,7.03
0_90.stp,85940.13,86021.76,108661.1,207286.6,232106.5,232290.7,248680.7,249373.7,423768.0,423848.3,436627.4,454635.5,9.35
0_91.stp,37210.85,37247.35,50156.47,90825.91,94315.4,94557.32,110076.6,110667.0,178173.6,181711.6,182038.0,182691.4,7.32
0_92.stp,48733.79,48823.91,64803.31,114251.1,114483.6,116979.5,142631.0,142843.9,225231.9,225893.2,230474.0,231286.0,13.38
0_93.stp,48735.86,48804.48,64826.03,114311.4,114357.0,117016.4,142656.7,142749.2,225304.3,225876.1,230589.8,230671.9,11.94
0_94.stp,37067.85,37126.71,50076.55,90711.74,93634.52,93719.34,109918.0,109952.2,177330.3,180650.2,180681.9,182115.5,10.29
0_95.stp,67060.38,68935.21,86992.89,163942.6,180822.9,192913.8,196595.2,197058.1,306134.9,332076.1,335584.7,353959.0,5.83
0_96.stp,28442.29,28459.98,39315.95,58090.17,58128.63,68088.33,82771.09,82830.17,111146.1,115709.3,115905.9,118137.9,9.17
0_97.stp,31086.09,31128.76,42230.76,71773.74,71825.1,74823.66,91286.68,91325.02,140410.4,141388.7,142290.9,142337.3,8.60
0_98.stp,85599.66,85667.17,108406.9,206436.6,230181.2,230853.7,247886.0,248063.3,422767.8,422876.7,433805.0,448312.9,14.29
0_99.stp,37217.44,37229.69,50178.22,91008.35,94341.05,94470.58,110239.0,111672.3,178317.5,181665.7,182088.3,182607.4,6.97
